address,full address,lat,lng
"Blk 172, ANG MO KIO AVE 4, Singapore","172 Ang Mo Kio Ave 4, Singapore 560172",1.37459,103.836432
"Blk 510, ANG MO KIO AVE 8, Singapore","510 Ang Mo Kio Ave 8, Block 510, Singapore 560510",1.3733835,103.8490435
"Blk 610, ANG MO KIO AVE 4, Singapore","610 Ang Mo Kio Ave 4, Block 610, Singapore 560610",1.3798003,103.839202
"Blk 474, ANG MO KIO AVE 10, Singapore","474 Ang Mo Kio Ave 10, Block 474, Singapore 560474",1.3628156,103.8579805
"Blk 604, ANG MO KIO AVE 5, Singapore","604 Ang Mo Kio Ave 5, Block 604, Singapore 560604",1.3799125,103.8358155
"Blk 154, ANG MO KIO AVE 5, Singapore","154 Ang Mo Kio Ave 5, Block 154, Singapore 560154",1.3762917,103.8411932
"Blk 110, ANG MO KIO AVE 4, Singapore","110 Ang Mo Kio Ave 4, Block 110, Singapore 560110",1.3704294,103.8373814
"Blk 445, ANG MO KIO AVE 10, Singapore","445 Ang Mo Kio Ave 10, Block 445, Singapore 560445",1.3670101,103.855623
"Blk 476, ANG MO KIO AVE 10, Singapore","476 Ang Mo Kio Ave 10, Singapore 560476",1.3623793,103.8576022
"Blk 631, ANG MO KIO AVE 4, Singapore","631 Ang Mo Kio Ave 4, Block 631 HDB Ang Mo Kio Avenue 4, Singapore 560631",1.3797355,103.8405759
"Blk 155, ANG MO KIO AVE 4, Singapore","155 Ang Mo Kio Ave 4, Singapore",1.375905,103.839962
"Blk 560, ANG MO KIO AVE 10, Singapore","560 Ang Mo Kio Ave 10, Block 560, Singapore 560560",1.3708194,103.85917
"Blk 561, ANG MO KIO AVE 10, Singapore","561 Ang Mo Kio Ave 10, Block 561, Singapore 560561",1.3705725,103.85786
"Blk 405, ANG MO KIO AVE 10, Singapore","405 Ang Mo Kio Ave 10, Block 405, Singapore 560405",1.36167,103.8537018
"Blk 548, ANG MO KIO AVE 10, Singapore","548 Ang Mo Kio Ave 10, Block 548, Singapore 560548",1.372877,103.8570799
"Blk 126, ANG MO KIO AVE 3, Singapore","126 Ang Mo Kio Ave 3, Block 126, Singapore 560126",1.371635,103.843571
"Blk 558, ANG MO KIO AVE 10, Singapore","558 Ang Mo Kio Ave 10, Block 558, Singapore 560558",1.3712175,103.8591781
"Blk 212, ANG MO KIO AVE 3, Singapore","212 Ang Mo Kio Ave 3, Block 212, Singapore 560212",1.368841,103.841549
"Blk 333, ANG MO KIO AVE 1, Singapore","333 Ang Mo Kio Ave 1, Block 333, Singapore 560333",1.3612933,103.8516908
"Blk 114, ANG MO KIO AVE 4, Singapore","114 Ang Mo Kio Ave 4, Block 114, Singapore 560114",1.3726565,103.836071
"Blk 151, ANG MO KIO AVE 5, Singapore","151 Ang Mo Kio Ave 5, Block 151, Singapore 560151",1.3767238,103.8411641
"Blk 503, ANG MO KIO AVE 5, Singapore","503 Ang Mo Kio Ave 5, Block 503, Singapore 560503",1.3754485,103.8488995
"Blk 230, ANG MO KIO AVE 3, Singapore","230 Ang Mo Kio Ave 3, Singapore",1.369046,103.837822
"Blk 157, ANG MO KIO AVE 4, Singapore","157 Ang Mo Kio Ave 4, Singapore 560157",1.37526,103.839382
"Blk 213, ANG MO KIO AVE 3, Singapore","213 Ang Mo Kio Ave 3, Singapore 560213",1.367847,103.841097
"Blk 419, ANG MO KIO AVE 10, Singapore","419 Ang Mo Kio Ave 10, Block 419, Singapore 560419",1.3654262,103.8541488
"Blk 549, ANG MO KIO AVE 10, Singapore","549 Ang Mo Kio Ave 10, Block 549, Singapore 560549",1.3732135,103.8573544
"Blk 201, ANG MO KIO AVE 3, Singapore","201 Ang Mo Kio Ave 3, Block 201, Singapore 560201",1.3688344,103.8445525
"Blk 533, ANG MO KIO AVE 5, Singapore","533 Ang Mo Kio Ave 5, Block 533, Singapore 560533",1.3741986,103.853047
"Blk 571, ANG MO KIO AVE 3, Singapore","571 Ang Mo Kio Ave 3, Block 571, Singapore 560571",1.3701286,103.8547614
"Blk 623, ANG MO KIO AVE 9, Singapore","623 Ang Mo Kio Ave 9, Block 623, Singapore 560623",1.3827323,103.8408724
"Blk 465, ANG MO KIO AVE 10, Singapore","465 Ang Mo Kio Ave 10, Block 465, Singapore 560465",1.366244,103.8570795
"Blk 119, ANG MO KIO AVE 3, Singapore","119 Ang Mo Kio Ave 3, Block 119, Singapore 560119",1.3697488,103.8446777
"Blk 121, ANG MO KIO AVE 3, Singapore","121 Ang Mo Kio Ave 3, Block 121, Singapore 560121",1.3699208,103.8435134
"Blk 418, ANG MO KIO AVE 10, Singapore","418 Ang Mo Kio Ave 10, Block 418, Singapore 560418",1.365027,103.8540144
"Blk 607, ANG MO KIO AVE 4, Singapore","607 Ang Mo Kio Ave 4, Block 607, Singapore 560607",1.380553,103.8388458
"Blk 216, ANG MO KIO AVE 1, Singapore","216 Ang Mo Kio Ave 1, Block 216, Singapore 560216",1.3662236,103.8413995
"Blk 103, ANG MO KIO AVE 3, Singapore","103 Ang Mo Kio Ave 3, Block 103, Singapore 560103",1.3709942,103.8393201
"Blk 570, ANG MO KIO AVE 3, Singapore","570 Ang Mo Kio Ave 3, Block 570, Singapore 560570",1.3698332,103.8558859
"Blk 127, ANG MO KIO AVE 3, Singapore","127 Ang Mo Kio Ave 3, Block 127, Singapore 560127",1.371211,103.8435938
"Blk 159, ANG MO KIO AVE 4, Singapore","159 Ang Mo Kio Ave 4, Singapore 560159",1.374582,103.839739
"Blk 173, ANG MO KIO AVE 4, Singapore","173 Ang Mo Kio Ave 4, Singapore",1.375197,103.836138
"Blk 585, ANG MO KIO AVE 3, Singapore","585 Ang Mo Kio Ave 3, Block 585, Singapore 560585",1.3706862,103.8524706
"Blk 120, ANG MO KIO AVE 3, Singapore","120 Ang Mo Kio Ave 3, Singapore 560120",1.3701754,103.8443359
"Blk 421, ANG MO KIO AVE 10, Singapore","421 Ang Mo Kio Ave 10, Block 421, Singapore 560421",1.3653614,103.8529125
"Blk 178, ANG MO KIO AVE 4, Singapore","178 Ang Mo Kio Ave 4, Block 178, Singapore 560178",1.3763778,103.8370581
"Blk 417, ANG MO KIO AVE 10, Singapore","417 Ang Mo Kio Ave 10, Block 417, Singapore 560417",1.3650282,103.8551798
"Blk 509, ANG MO KIO AVE 8, Singapore","509 Ang Mo Kio Ave 8, Block 509, Singapore 560509",1.3739801,103.8500795
"Blk 128, ANG MO KIO AVE 3, Singapore","128 Ang Mo Kio Ave 3, Singapore 560128",1.3708109,103.8436139
"Blk 328, ANG MO KIO AVE 3, Singapore","328 Ang Mo Kio Ave 3, Block 328, Singapore 560328",1.3666511,103.8478806
"Blk 463, ANG MO KIO AVE 10, Singapore","463 Ang Mo Kio Ave 10, Block 463, Singapore 560463",1.366818,103.8573925
"Blk 575, ANG MO KIO AVE 10, Singapore","575 Ang Mo Kio Ave 10, Block 575, Singapore 560575",1.3714234,103.8558242
"Blk 587, ANG MO KIO AVE 3, Singapore","587 Ang Mo Kio Ave 3, Block 587, Singapore 560587",1.3702258,103.8524899
"Blk 218, ANG MO KIO AVE 1, Singapore","218 Ang Mo Kio Ave 1, Block 218, Singapore 560218",1.3651591,103.8416195
"Blk 320, ANG MO KIO AVE 1, Singapore","320 Ang Mo Kio Ave 1, Block 320, Singapore 560320",1.3655883,103.8484025
"Blk 348, ANG MO KIO AVE 3, Singapore","348 Ang Mo Kio Ave 3, Block 348, Singapore 560348",1.3662035,103.8478621
